execution_scenario,date,signal_date,execution_date,portfolio_update_date,fill_data_end_date,coin,action,price,expected_fill,simulated_fill,fill_uses_full_next_day_ohlc,shares,trade_notional,fee_paid,slippage_paid,slippage_pct,adv_participation_pct,execution_mode,total_cost,cash_remaining,net_proceeds,holding_days
same_close,2020-07-22,2020-07-22,2020-07-22,2020-07-22,2020-07-22,VET,rebalance_buy,0.017467,0.017467,0.017467,False,95401.84238540278,1666.3839809458302,1.6663839809458303,0.8331919904729151,0.05,0.0030719108601019313,same_close,2.4995759714187455,8331.11644308275,,
same_close,2020-07-22,2020-07-22,2020-07-22,2020-07-22,2020-07-22,ALGO,rebalance_buy,0.3456,0.3456,0.3456,False,5886.240098825618,2034.2845781541337,2.034284578154134,1.017142289077067,0.05,0.028025247435015294,same_close,3.051426867231201,6293.780438061385,,
same_close,2020-07-22,2020-07-22,2020-07-22,2020-07-22,2020-07-22,DOGE,rebalance_buy,0.0032868,0.0032868,0.0032868,False,327970.71735491813,1077.9741538021449,1.077974153802145,0.5389870769010725,0.05,0.010729379531961845,same_close,1.6169612307032175,5214.189323028537,,
same_close,2020-07-22,2020-07-22,2020-07-22,2020-07-22,2020-07-22,XLM,rebalance_buy,0.09738,0.09738,0.09738,False,25672.62271513658,2500.0,2.5,1.25,0.05,0.010655936369582715,same_close,3.75,2710.439323028537,,
same_close,2020-07-22,2020-07-22,2020-07-22,2020-07-22,2020-07-22,ADA,rebalance_buy,0.1238,0.1238,0.1238,False,19357.736409257624,2396.487767466094,2.396487767466094,1.198243883733047,0.05,0.004569806020793759,same_close,3.5947316511991407,310.35682391124374,,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,VET,exit,0.015583,0.015583,0.015583,False,95401.84238540278,1486.6469098917314,1.4866469098917314,0.7433234549458657,0.05,0.002577604046300183,same_close,2.2299703648375973,,1484.4169395268939,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,DOGE,exit,0.0031663,0.0031663,0.0031663,False,327970.71735491813,1038.4536823608773,1.0384536823608774,0.5192268411804387,0.05,0.009758352253630247,same_close,1.557680523541316,,1036.8960018373361,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,ALGO,rebalance_sell,0.308,0.308,0.308,False,2218.325589446529,683.244281549531,0.683244281549531,0.3416221407747655,0.05,0.008086630766025235,same_close,1.0248664223242965,,682.2194151272067,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,ADA,rebalance_sell,0.13972,0.13972,0.13972,False,10748.073512688594,1501.7208311928505,1.5017208311928505,0.7508604155964252,0.05,0.002184451169189031,same_close,2.252581246789276,,1499.4682499460612,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,XLM,rebalance_sell,0.09498,0.09498,0.09498,False,7861.697929421397,746.7040693364443,0.7467040693364443,0.37335203466822214,0.05,0.002780758903871143,same_close,1.1200561040046664,,745.5840132324396,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,TRX,rebalance_buy,0.01915,0.01915,0.01915,False,127825.95304422047,2447.867000796822,2.447867000796822,1.223933500398411,0.05,0.01785319191382684,same_close,3.671800501195233,3307.402642283164,,
same_close,2020-07-29,2020-07-29,2020-07-29,2020-07-29,2020-07-29,HBAR,rebalance_buy,0.04381,0.04381,0.04381,False,55874.6176853874,2447.867000796822,2.447867000796822,1.223933500398411,0.05,0.1805998103879199,same_close,3.671800501195233,855.8638409851465,,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,HBAR,exit,0.04346,0.04346,0.04346,False,55874.6176853874,2428.3108846069363,2.4283108846069363,1.2141554423034682,0.05,0.15359030425835418,same_close,3.6424663269104043,,2424.668418280026,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,TRX,rebalance_sell,0.02031,0.02031,0.02031,False,1652.9078038427672,33.570557496046604,0.03357055749604661,0.016785278748023304,0.05,0.00020251124747049063,same_close,0.05035583624406991,,33.52020165980253,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,XLM,rebalance_buy,0.10749,0.10749,0.10749,False,2819.7139333756727,303.09105069855104,0.303091050698551,0.1515455253492755,0.05,0.0009620766967871621,same_close,0.45463657604782653,3010.506773650376,,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,DOGE,rebalance_buy,0.0035028,0.0035028,0.0035028,False,250433.54860606403,877.2186340573211,0.8772186340573211,0.4386093170286606,0.05,0.007401802570817145,same_close,1.3158279510859816,2131.972311641969,,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,ALGO,rebalance_buy,0.3355,0.3355,0.3355,False,1065.3781296683715,357.43436250373867,0.35743436250373867,0.17871718125186933,0.05,0.003682295640619386,same_close,0.536151543755608,1774.0017975944747,,
same_close,2020-08-05,2020-08-05,2020-08-05,2020-08-05,2020-08-05,ADA,rebalance_buy,0.14227,0.14227,0.14227,False,4405.969174239664,626.837234419077,0.626837234419077,0.3134186172095385,0.05,0.0009142451687901813,same_close,0.9402558516286155,1146.2243073237692,,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,XLM,exit,0.10147,0.10147,0.10147,False,20630.638719090854,2093.390910826149,2.093390910826149,1.0466954554130745,0.05,0.008593841482037368,same_close,3.1400863662392235,,2090.25082445991,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,DOGE,exit,0.0034606,0.0034606,0.0034606,False,250433.54860606403,866.6503383061452,0.8666503383061451,0.43332516915307256,0.05,0.016818025850085194,same_close,1.2999755074592176,,865.350362798686,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,ALGO,rebalance_sell,0.5233,0.5233,0.5233,False,2352.032215016621,1230.818458118198,1.230818458118198,0.615409229059099,0.05,0.00954178739652461,same_close,1.8462276871772971,,1228.9722304310205,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,HBAR,rebalance_buy,0.05195,0.05195,0.05195,False,46329.98258335891,2406.842595205496,2.4068425952054957,1.2034212976027479,0.05,0.10104290879064536,same_close,3.6102638928082436,2920.3448659150813,,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,VET,rebalance_buy,0.020429,0.020429,0.020429,False,83468.42007249733,1705.1763536610479,1.7051763536610478,0.8525881768305239,0.05,0.0045277748718077345,same_close,2.5577645304915717,1212.6107477235419,,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,TRX,rebalance_buy,0.02019,0.02019,0.02019,False,8916.953297913196,180.03328708486742,0.18003328708486743,0.09001664354243372,0.05,0.0010821189170083204,same_close,0.27004993062730115,1032.3074107080472,,
same_close,2020-08-12,2020-08-12,2020-08-12,2020-08-12,2020-08-12,ADA,rebalance_buy,0.1367,0.1367,0.1367,False,1385.0250246324874,189.332920867261,0.189332920867261,0.0946664604336305,0.05,0.00033472310580148204,same_close,0.28399938130089153,842.6904904594853,,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,ADA,exit,0.12966,0.12966,0.12966,False,14400.657095441182,1867.1891989949036,1.8671891989949037,0.9335945994974518,0.05,0.0033645692834271693,same_close,2.8007837984923554,,1864.3884151964112,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,ALGO,rebalance_sell,0.5965,0.5965,0.5965,False,213.58987269873575,127.40635906479588,0.1274063590647959,0.06370317953239794,0.05,0.0006614484250531248,same_close,0.19110953859719382,,127.21524952619869,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,TRX,rebalance_sell,0.02648,0.02648,0.02648,False,33423.24321209226,885.047480256203,0.8850474802562031,0.44252374012810153,0.05,0.0027768581543996754,same_close,1.3275712203843046,,883.7199090358188,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,MATIC,rebalance_buy,0.02479,0.02479,0.02479,False,115255.95130212315,2857.195032779633,2.857195032779633,1.4285975163898166,0.05,0.0319784157774327,same_close,4.28579254916945,856.5332388891115,,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,VET,rebalance_buy,0.017857,0.017857,0.017857,False,27248.711770482983,486.58024608551466,0.48658024608551464,0.24329012304275732,0.05,0.001322720456118557,same_close,0.729870369128272,369.2231224344686,,
same_close,2020-08-19,2020-08-19,2020-08-19,2020-08-19,2020-08-19,HBAR,rebalance_buy,0.05006,0.05006,0.05006,False,7327.558921211445,366.8175995958449,0.3668175995958449,0.18340879979792246,0.05,0.011355070092626542,same_close,0.5502263993937674,1.85529643922996,,
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,ALGO,exit,0.55,0.55,0.55,False,2167.6705513321035,1192.2188032326571,1.192218803232657,0.5961094016163285,0.05,0.0050398386434505026,same_close,1.7883282048489857,,1190.4304750278081,35.0
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,TRX,exit,0.02369,0.02369,0.02369,False,101666.75532619865,2408.4854336776457,2.4084854336776456,1.2042427168388228,0.05,0.0063217757418226935,same_close,3.6127281505164683,,2404.8727055271293,28.0
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,HBAR,exit,0.04657,0.04657,0.04657,False,53657.541504570356,2498.8317078678415,2.4988317078678417,1.2494158539339209,0.05,0.07608870739036878,same_close,3.7482475618017626,,2495.08346030604,14.0
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,VET,exit,0.017113,0.017113,0.017113,False,110717.13184298032,1894.7022772289222,1.8947022772289221,0.9473511386144611,0.05,0.0055314084362273735,same_close,2.8420534158433832,,1891.8602238130788,14.0
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,MATIC,rebalance_sell,0.02739,0.02739,0.02739,False,13458.26944185072,368.6220000122912,0.36862200001229123,0.18431100000614561,0.05,0.0038457275424916117,same_close,0.5529330000184368,,368.0690670122728,
same_close,2020-08-26,2020-08-26,2020-08-26,2020-08-26,2020-08-26,DOGE,rebalance_buy,0.0032939,0.0032939,0.0032939,False,846485.4750152895,2788.238506152862,2.788238506152862,1.394119253076431,0.05,0.0793591508983014,same_close,4.182357759229293,5559.750364213467,,
same_close,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,MATIC,exit,0.02343,0.02343,0.02343,False,101797.68186027244,2385.119685986183,2.385119685986183,1.1925598429930915,0.05,0.024239733106717943,same_close,3.5776795289792744,,2381.542006457204,14.0
same_close,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,TRX,rebalance_buy,0.03449,0.03449,0.03449,False,44597.1302666195,1538.1550228957065,1.5381550228957064,0.7690775114478532,0.05,0.0027752416143961467,same_close,2.3072325343435596,6400.830115240622,,
same_close,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,ALGO,rebalance_buy,0.4638,0.4638,0.4638,False,2331.324593788138,1081.2683465989383,1.0812683465989383,0.5406341732994692,0.05,0.004308698740753614,same_close,1.6219025198984074,5317.939866121786,,
same_close,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,XLM,rebalance_buy,0.09228,0.09228,0.09228,False,28669.818592584506,2645.6508597236984,2.6456508597236983,1.3228254298618491,0.05,0.01562534035321408,same_close,3.9684762895855474,2668.3205301085018,,
same_close,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,DOGE,rebalance_buy,0.0031161,0.0031161,0.0031161,False,2540.827004446167,7.917471028554701,0.0079174710285547,0.00395873551427735,0.05,0.0002795105802169245,same_close,0.01187620654283205,2660.3911828734044,,
same_close,2020-09-09,2020-09-09,2020-09-09,2020-09-09,2020-09-09,DOGE,exit,0.002779,0.002779,0.002779,False,849026.3020197357,2359.4440933128453,2.3594440933128453,1.1797220466564227,0.05,0.08636568774288766,same_close,3.539166139969268,,2355.904927172876,14.0
same_close,2020-09-09,2020-09-09,2020-09-09,2020-09-09,2020-09-09,XLM,exit,0.07832,0.07832,0.07832,False,28669.818592584506,2245.420192171219,2.2454201921712187,1.1227100960856093,0.05,0.014149160717726988,same_close,3.368130288256828,,2242.052061882962,7.0
same_close,2020-09-09,2020-09-09,2020-09-09,2020-09-09,2020-09-09,TRX,exit,0.03397,0.03397,0.03397,False,44597.1302666195,1514.9645151570644,1.5149645151570645,0.7574822575785323,0.05,0.0014931105512768015,same_close,2.272446772735597,,1512.6920683843289,
same_close,2020-09-09,2020-09-09,2020-09-09,2020-09-09,2020-09-09,ALGO,exit,0.413,0.413,0.413,False,2331.324593788138,962.8370572345009,0.9628370572345009,0.48141852861725043,0.05,0.003934973633618197,same_close,1.4442555858517512,,961.3928016486491,
same_close,2020-11-25,2020-11-25,2020-11-25,2020-11-25,2020-11-25,XLM,rebalance_buy,0.19295,0.19295,0.19295,False,5908.149524387764,1139.9774507306192,1.1399774507306193,0.5699887253653096,0.05,0.0027886738098858886,same_close,1.709966176095929,8590.745625055504,,
same_close,2020-11-25,2020-11-25,2020-11-25,2020-11-25,2020-11-25,MATIC,rebalance_buy,0.02087,0.02087,0.02087,False,94199.74937972573,1965.948769554876,1.965948769554876,0.982974384777438,0.05,0.04932229856248481,same_close,2.9489231543323142,6621.847932346296,,
same_close,2020-11-25,2020-11-25,2020-11-25,2020-11-25,2020-11-25,ADA,rebalance_buy,0.15473,0.15473,0.15473,False,15181.293804359235,2349.0015903485046,2.3490015903485046,1.1745007951742523,0.05,0.0038257046956751005,same_close,3.523502385522757,4269.322839612269,,
same_close,2020-11-25,2020-11-25,2020-11-25,2020-11-25,2020-11-25,VET,rebalance_buy,0.016548,0.016548,0.016548,False,105735.52642974017,1749.7114913593405,1.7497114913593406,0.8748557456796703,0.05,0.008963093694446703,same_close,2.624567237039011,2516.9867810158894,,
same_close,2020-11-25,2020-11-25,2020-11-25,2020-11-25,2020-11-25,DOGE,rebalance_buy,0.0037081,0.0037081,0.0037081,False,656160.3679756627,2433.108260490555,2.433108260490555,1.2165541302452776,0.05,0.07475892080997312,same_close,3.6496623907358328,80.22885813459834,,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,MATIC,exit,0.01932,0.01932,0.01932,False,94199.74937972573,1819.9391580163012,1.8199391580163014,0.9099695790081507,0.05,0.04187023513305328,same_close,2.729908737024452,,1817.2092492792767,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,XLM,rebalance_sell,0.18514,0.18514,0.18514,False,8.595460861699078,1.591363623934967,0.0015913636239349672,0.0007956818119674836,0.05,2.066076975711618e-06,same_close,0.002387045435902451,,1.5889765784990648,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,ADA,rebalance_sell,0.15845,0.15845,0.15845,False,2609.0202291850514,413.39925531437143,0.41339925531437144,0.20669962765718572,0.05,0.00045956192015244484,same_close,0.6200988829715571,,412.7791564313999,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,DOGE,rebalance_sell,0.0033624,0.0033624,0.0033624,False,30144.37422961551,101.3574439096592,0.1013574439096592,0.0506787219548296,0.05,0.0025751047696096875,same_close,0.15203616586448881,,101.20540774379471,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,VET,rebalance_buy,0.016405,0.016405,0.016405,False,2046.6497630975841,33.575289363615866,0.03357528936361587,0.016787644681807934,0.05,0.0001379812615099687,same_close,0.0503629340454238,2379.385995869907,,
same_close,2020-12-02,2020-12-02,2020-12-02,2020-12-02,2020-12-02,TRX,rebalance_buy,0.03118,0.03118,0.03118,False,74890.5047687462,2335.0859386895067,2.335085938689507,1.1675429693447534,0.05,0.004783443916270541,same_close,3.5026289080342603,40.79742827236623,,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,XLM,exit,0.17206,0.17206,0.17206,False,5899.554063526065,1015.0772721702947,1.0150772721702948,0.5075386360851474,0.05,0.0011872732928197036,same_close,1.522615908255442,,1013.5546562620392,14.0
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,DOGE,exit,0.0031562,0.0031562,0.0031562,False,626015.9937460471,1975.831679461274,1.975831679461274,0.987915839730637,0.05,0.049509633556427374,same_close,2.963747519191911,,1972.8679319420821,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,TRX,exit,0.0287,0.0287,0.0287,False,74890.5047687462,2149.357486863016,2.1493574868630163,1.0746787434315082,0.05,0.004451056486195754,same_close,3.2240362302945247,,2146.1334506327216,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,VET,rebalance_buy,0.016758,0.016758,0.016758,False,384.2679401777512,6.4395621414987545,0.006439562141498755,0.0032197810707493774,0.05,2.451925736093704e-05,same_close,0.009659343212248133,5166.904245624498,,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,ADA,rebalance_buy,0.14796,0.14796,0.14796,False,1316.8205884853883,194.83677427229807,0.19483677427229806,0.09741838713614903,0.05,0.0002047354482947029,same_close,0.2922551614084471,4971.775216190791,,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,HBAR,rebalance_buy,0.0365,0.0365,0.0365,False,60599.11762732396,2211.8677933973245,2.2118677933973245,1.1059338966986623,0.05,0.1691471947905273,same_close,3.317801690095987,2756.5896211033705,,
same_close,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,ALGO,rebalance_buy,0.3056,0.3056,0.3056,False,7191.483995175331,2197.717508925581,2.197717508925581,1.0988587544627906,0.05,0.023095043887002023,same_close,3.2965762633883715,555.5755359144009,,
same_close,2020-12-16,2020-12-16,2020-12-16,2020-12-16,2020-12-16,VET,rebalance_sell,0.017274,0.017274,0.017274,False,19508.582623277234,336.99125623449095,0.33699125623449094,0.16849562811724547,0.05,0.0012679236021383765,same_close,0.5054868843517364,,336.4857693501392,
same_close,2020-12-16,2020-12-16,2020-12-16,2020-12-16,2020-12-16,ADA,rebalance_sell,0.16814,0.16814,0.16814,False,4230.315835595527,711.2853045970319,0.7112853045970319,0.35564265229851594,0.05,0.0007076811138185039,same_close,1.0669279568955479,,710.2183766401363,
same_close,2020-12-16,2020-12-16,2020-12-16,2020-12-16,2020-12-16,ALGO,rebalance_sell,0.3396,0.3396,0.3396,False,1592.8542538858,540.9333046196177,0.5409333046196177,0.2704666523098089,0.05,0.0054794545796470456,same_close,0.8113999569294266,,540.1219046626883,
same_close,2020-12-16,2020-12-16,2020-12-16,2020-12-16,2020-12-16,HBAR,rebalance_buy,0.0354,0.0354,0.0354,False,4483.091480764272,158.70143841905522,0.15870143841905524,0.07935071920952762,0.05,0.012695400743777866,same_close,0.23805215762858284,1983.4620959906808,,
same_close,2020-12-16,2020-12-16,2020-12-16,2020-12-16,2020-12-16,MATIC,rebalance_buy,0.0195,0.0195,0.0195,False,101508.91781930866,1979.4238974765187,1.9794238974765188,0.9897119487382594,0.05,0.05085067090170256,same_close,2.9691358462147783,1.0690626679472643,,
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,ADA,exit,0.13635,0.13635,0.13635,False,9658.778328064047,1316.9744250315327,1.3169744250315327,0.6584872125157664,0.05,0.0014331855552476304,same_close,1.975461637547299,,1314.9989633939854,28.0
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,VET,exit,0.013236,0.013236,0.013236,False,88657.86150973827,1173.4754549428958,1.1734754549428958,0.5867377274714479,0.05,0.004596401435081132,same_close,1.7602131824143439,,1171.7152417604814,28.0
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,HBAR,exit,0.03015,0.03015,0.03015,False,65082.20910808823,1962.2286046088602,1.9622286046088602,0.9811143023044301,0.05,0.13536110647865113,same_close,2.94334290691329,,1959.285261701947,14.0
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,ALGO,exit,0.2891,0.2891,0.2891,False,5598.629741289531,1618.5638582068036,1.6185638582068036,0.8092819291034018,0.05,0.015379455263504423,same_close,2.4278457873102055,,1616.1360124194935,14.0
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,MATIC,exit,0.01522,0.01522,0.01522,False,101508.91781930866,1544.9657292098777,1.5449657292098777,0.7724828646049389,0.05,0.045146170904810254,same_close,2.3174485938148166,,1542.648280616063,7.0
same_close,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2020-12-23,DOGE,rebalance_buy,0.0037449,0.0037449,0.0037449,False,508510.0493115916,1904.3192836669793,1.9043192836669793,0.9521596418334897,0.05,0.02569773744357917,same_close,2.8564789255004692,5698.677059967438,,
same_close,2020-12-30,2020-12-30,2020-12-30,2020-12-30,2020-12-30,DOGE,rebalance_sell,0.0046251,0.0046251,0.0046251,False,177891.6316076624,822.7665853485994,0.8227665853485994,0.4113832926742997,0.05,0.011586271648224107,same_close,1.234149878022899,,821.5324354705765,
