variant,position_sizing_mode,entry_top,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,annualized_turnover,total_fees,total_slippage,final_equity,avg_positions_held,avg_holding_period
equal_weight_top5,equal_weight,5,1.0916815879648856,-0.8310616651609066,1.041477909943891,365,13.228556888551454,5803.010807948409,5803.010807948409,91560.06406831156,3.81950774840474,44.86363636363637
inverse_volatility_top5,inverse_volatility,5,1.221139992903432,-0.8309256812130931,1.107161546266855,365,13.353408773406818,6920.585520808304,6920.585520808304,109638.98693909928,3.81950774840474,44.86363636363637
equal_weight_top10,equal_weight,10,0.7204813911019983,-0.8183512893531109,0.8772687744823487,591,10.909592650756322,2864.0228952325633,2864.0228952325633,50946.13386986122,7.37739288969918,73.56140350877193
inverse_volatility_top10,inverse_volatility,10,0.7907623179368968,-0.801018937666278,0.921098753629099,591,11.459949396673156,3124.4393004960043,3124.4393004960043,57449.60362013042,7.37739288969918,73.56140350877193
