summary_metric,momentum_lookback,breadth_threshold_pct,trailing_stop_pct,entry_top,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,avg_exposure_pct,final_equity
best_sharpe_configuration,20.0,70.0,15.0,5.0,0.9024360575381938,-0.48104792592609286,1.1758816110644952,691.0,31.23218387956243,593418.1793509354
best_cagr_configuration,20.0,70.0,35.0,5.0,0.9320760979552292,-0.5349495925312572,1.163340033771907,717.0,33.83872299553267,654620.4271528211
lowest_drawdown_configuration,90.0,80.0,15.0,3.0,0.42202410771219245,-0.3692387116193045,0.8423602743476728,407.0,21.765375238104443,93501.35410140199
median_sharpe_across_all_tests,,,,,,,0.995901880024885,,,
