execution_mode,strategy_cagr,strategy_sharpe,final_equity,cagr_impact_vs_same_close,sharpe_impact_vs_same_close,final_equity_impact_vs_same_close,total_execution_drag,total_fees,total_slippage,average_portfolio_overlap_pct
same_close,0.9134418474597152,1.1844600299569241,615554.5511774359,0.0,0.0,0.0,34315.47978444899,21969.357494876105,12346.122289572882,64.88284785443977
next_open,0.912955170249101,1.184161160562016,614561.1895293604,-0.0004866772106142392,-0.00029886939490819664,-993.3616480755154,34260.02764688935,21937.100742234477,12322.926904654874,64.88284785443977
next_day_vwap_approx,1.0409025490456734,1.2729963649586846,927011.4941541496,0.12746070158595812,0.0885363350017605,311456.94297671365,57226.0713290696,34616.19501108754,22609.876317982063,64.88284785443977
