period,start_date,end_date,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,avg_exposure_pct,time_in_cash_pct,final_equity,total_fees,total_slippage,fees_slippage,btc_cagr,btc_max_drawdown,btc_sharpe,btc_final_equity,eth_cagr,eth_max_drawdown,eth_sharpe,eth_final_equity
2020_2021,2020-01-01,2021-12-31,4.506365837233882,-0.4807158273044303,2.009398356981724,274,48.462869308717536,43.50205198358413,302493.4221600778,3863.235094927676,3863.235094927676,7726.470189855352,1.5350421078543666,-0.5359790262519866,1.3253215264384677,64182.603442649124,4.308153488912192,-0.6218832193582324,1.7856542071992343,281121.8169304886
2022,2022-01-01,2022-12-31,0.0,0.0,0.0,0,0.0,100.0,10000.0,0.0,0.0,0.0,-0.6546226418753771,-0.6693123705410324,-1.115815305407944,3466.362408625674,-0.6835968598661104,-0.740057519453957,-0.7362046230937216,3176.5165155595214
2023_onward,2023-01-01,2023-01-01,0.0,0.0,0.0,0,0.0,100.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0
