period,configured_start_date,configured_end_date,actual_start_date,actual_end_date,asset_count,eligible_asset_count,loaded_asset_count,latest_available_date,asset_date_ranges,missing_asset_coverage_count,missing_asset_coverage
2020_2021,2020-01-01,2021-12-31,2020-01-01,2021-12-31,8,8,20,2026-05-08,ADA:2020-01-01 to 2026-05-08; ALGO:2020-01-01 to 2026-05-08; AVAX:2020-09-22 to 2026-05-08; BNB:2020-01-01 to 2026-05-08; BTC:2020-01-01 to 2026-05-08; DOGE:2020-01-01 to 2026-05-08; DOT:2020-08-18 to 2026-05-08; ETC:2020-01-01 to 2026-05-08; ETH:2020-01-01 to 2026-05-08; FIL:2020-10-15 to 2026-05-08; FTT:2020-01-01 to 2026-05-08; HBAR:2020-01-01 to 2026-05-08; ICP:2021-05-11 to 2026-05-08; LTC:2020-01-01 to 2026-05-08; MATIC:2020-01-01 to 2024-09-10; SOL:2020-08-11 to 2026-05-08; THETA:2020-01-01 to 2026-05-08; TRX:2020-01-01 to 2026-05-08; VET:2020-01-01 to 2026-05-08; XLM:2020-01-01 to 2026-05-08,0,
2022,2022-01-01,2022-12-31,2022-01-01,2022-12-31,8,8,20,2026-05-08,ADA:2020-01-01 to 2026-05-08; ALGO:2020-01-01 to 2026-05-08; AVAX:2020-09-22 to 2026-05-08; BNB:2020-01-01 to 2026-05-08; BTC:2020-01-01 to 2026-05-08; DOGE:2020-01-01 to 2026-05-08; DOT:2020-08-18 to 2026-05-08; ETC:2020-01-01 to 2026-05-08; ETH:2020-01-01 to 2026-05-08; FIL:2020-10-15 to 2026-05-08; FTT:2020-01-01 to 2026-05-08; HBAR:2020-01-01 to 2026-05-08; ICP:2021-05-11 to 2026-05-08; LTC:2020-01-01 to 2026-05-08; MATIC:2020-01-01 to 2024-09-10; SOL:2020-08-11 to 2026-05-08; THETA:2020-01-01 to 2026-05-08; TRX:2020-01-01 to 2026-05-08; VET:2020-01-01 to 2026-05-08; XLM:2020-01-01 to 2026-05-08,0,
2023_onward,2023-01-01,2026-05-08,2023-01-01,2026-05-08,8,8,20,2026-05-08,ADA:2020-01-01 to 2026-05-08; ALGO:2020-01-01 to 2026-05-08; AVAX:2020-09-22 to 2026-05-08; BNB:2020-01-01 to 2026-05-08; BTC:2020-01-01 to 2026-05-08; DOGE:2020-01-01 to 2026-05-08; DOT:2020-08-18 to 2026-05-08; ETC:2020-01-01 to 2026-05-08; ETH:2020-01-01 to 2026-05-08; FIL:2020-10-15 to 2026-05-08; FTT:2020-01-01 to 2026-05-08; HBAR:2020-01-01 to 2026-05-08; ICP:2021-05-11 to 2026-05-08; LTC:2020-01-01 to 2026-05-08; MATIC:2020-01-01 to 2024-09-10; SOL:2020-08-11 to 2026-05-08; THETA:2020-01-01 to 2026-05-08; TRX:2020-01-01 to 2026-05-08; VET:2020-01-01 to 2026-05-08; XLM:2020-01-01 to 2026-05-08,1,MATIC:ends 2024-09-10
